Abdurhman Bahour,,,,,,,,0,,,,,
Wrap:,TRUE,,,,,,,,,,,,
K(states):,5,,,,,,,,,,,,
Radius:,1,,,,,,,,,,,,
Quiescence:,TRUE,,,,,,,,,,,,
random seed:,1644449108,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,0,,,,,,,,,,,,
Rule:,2.24E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,1.790921729,1.987773371,,randomness at begning ends in repeating patter,,,,,0
1,4,3,0.872,0.846153846,1.941938719,1.987773371,,chaous,,,,,2
2,7,3,0.728,0.769230769,2.101710266,2.075869297,,chaous,,,,,2
3,11,3,0.704,0.692307692,2.090244863,2.038159682,,chaous,,,,,2
4,12,3,0.696,0.615384615,2.09195795,2.038159682,,chaous,,,,,2
5,8,3,0.576,0.538461538,2.048477214,1.987773371,,chaous,,,,,2
6,6,3,0.424,0.461538462,1.771851588,1.88109476,,chaous,,,,,2
7,9,3,0.344,0.384615385,1.420928522,1.546593564,,chaous,,,,,2
8,10,3,0.296,0.307692308,1.323886377,1.352030102,,chaous,,,,,2
9,5,3,0.152,0.230769231,0.766518891,0.991264261,,chaous,,,,,2
10,1,3,0.128,0.153846154,0.674095106,0.773228349,,chaous,,,,,2
11,3,3,0.048,0.076923077,0.277839574,0.391243564,,chaous,,,,,2
12,2,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,1,,,,,,,,,,,,
Rule:,3.23E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.986313785,2.10390991,,chaous,,,,,2
1,11,3,0.968,0.846153846,2.074106967,2.199687795,,chaous,,,,,2
2,9,3,0.888,0.769230769,2.249613253,2.23739741,,chaous,,,,,2
3,8,3,0.768,0.692307692,2.287090324,2.199687795,,chaous,,,,,2
4,1,3,0.744,0.615384615,2.282218179,2.133937566,,chaous,,,,,2
5,2,3,0.696,0.538461538,2.266717662,2.045841641,,chaous,,,,,2
6,7,3,0.552,0.461538462,1.906077603,1.88109476,,chaous,,,,,2
7,6,3,0.4,0.384615385,1.575174432,1.700439718,,chaous,,,,,2
8,12,3,0.392,0.307692308,1.513725718,1.352030102,,chaous,,,,,2
9,5,3,0.248,0.230769231,0.98388403,0.991264261,,chaous,,,,,2
10,10,3,0.2,0.153846154,0.721928095,0.619382195,,chaous,,,,,2
11,4,3,0.08,0.076923077,0.40217919,0.391243564,,chaous,,,,,2
12,3,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,2,,,,,,,,,,,,
Rule:,3.22E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.569727903,2.038159682,,chaous,,,,,2
1,8,3,0.872,0.846153846,1.949089262,2.16197818,,chaous,,,,,2
2,3,3,0.792,0.769230769,1.964764409,2.199687795,,cahours,,,,,2
3,11,3,0.768,0.692307692,1.949089262,2.16197818,,chaous,,,,,2
4,6,3,0.616,0.615384615,1.991212061,2.133937566,,chaous,,,,,2
5,9,4,0.536,0.538461538,1.80565628,1.987773371,,edge of chaouts,,,,,1
6,10,4,0.488,0.461538462,1.720841917,1.823026491,,edge of chaouts,,,,,1
7,1,3,0.464,0.384615385,1.579457211,1.488525295,,chaous,,,,,2
8,5,3,0.32,0.307692308,1.368808395,1.352030102,,chaous,,,,,2
9,7,3,0.176,0.230769231,0.863202779,1.145110414,,chaous,,,,,2
10,4,3,0.056,0.153846154,0.344491046,0.773228349,,chaous,,,,,2
11,12,3,0.048,0.076923077,0.277839574,0.391243564,,chaous,,,,,2
12,2,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,3,,,,,,,,,,,,
Rule:,4.14E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,0.571763985,1.140115679,,chaous,,,,,2
1,11,3,0.968,0.846153846,0.704664793,1.334679141,,chaous,,,,,2
2,10,3,0.92,0.769230769,0.893771408,1.457265914,,chaous,,,,,2
3,1,2,0.896,0.692307692,0.896673693,1.419556299,,randomness at begning ends in repeating patter,,,,,0
4,8,2,0.776,0.615384615,1.163236648,1.460484681,,randomness at begning ends in repeating patter,,,,,0
5,5,2,0.632,0.538461538,1.317103717,1.460484681,,randomness at begning ends in repeating patter,,,,,0
6,12,2,0.624,0.461538462,1.299924843,1.295737801,,randomness at begning ends in repeating patter,,,,,0
7,3,2,0.544,0.384615385,0.994406653,0.961236605,,randomness at begning ends in repeating patter,,,,,0
8,7,2,0.4,0.307692308,0.970950594,0.89049164,,randomness at begning ends in repeating patter,,,,,0
9,2,1,0.352,0.230769231,0.935841553,0.779349837,,initial state evloves to a fixed uniform state,,,,,0
10,6,1,0.2,0.153846154,0.721928095,0.619382195,,initial state evloves to a fixed uniform state,,,,,0
11,9,1,0.12,0.076923077,0.529360865,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,4,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,4,,,,,,,,,,,,
Rule:,1.21E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.821523001,2.075869297,,chaous,,,,,2
1,12,3,0.984,0.846153846,1.856509943,2.133937566,,chaous,,,,,2
2,9,3,0.904,0.769230769,2.074880755,2.199687795,,chaous,,,,,2
3,4,3,0.784,0.692307692,2.100808326,2.10390991,,chaous,,,,,2
4,8,3,0.664,0.615384615,1.784872244,1.826245258,,chaous,,,,,2
5,6,3,0.512,0.538461538,1.667598741,1.738149333,,chaous,,,,,2
6,1,3,0.488,0.461538462,1.648006865,1.669180337,,chaous,,,,,2
7,10,3,0.44,0.384615385,1.594550766,1.546593564,,chaous,,,,,2
8,3,3,0.36,0.307692308,1.457293577,1.352030102,,chaous,,,,,2
9,2,1,0.312,0.230769231,1.206135606,0.991264261,,initial state evloves to a fixed uniform state,,,,,0
10,5,1,0.168,0.153846154,0.752510139,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,7,1,0.024,0.076923077,0.163345543,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,11,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,5,,,,,,,,,,,,
Rule:,4.13E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.993593897,2.199687795,,chaous,,,,,2
1,3,3,0.912,0.846153846,2.192641007,2.295465679,,chaous,,,,,2
2,12,3,0.904,0.769230769,2.201373028,2.295465679,,chaous,,,,,2
3,6,3,0.752,0.692307692,2.309837434,2.257756064,,chaous,,,,,2
4,2,4,0.704,0.615384615,2.276323523,2.133937566,,edge of chaouts,,,,,1
5,5,2,0.56,0.538461538,1.874992646,1.833927218,,randomness at begning ends in repeating patter,,,,,0
6,10,2,0.512,0.461538462,1.804434699,1.727248606,,randomness at begning ends in repeating patter,,,,,0
7,9,2,0.432,0.384615385,1.665522522,1.546593564,,randomness at begning ends in repeating patter,,,,,0
8,1,2,0.408,0.307692308,1.62002262,1.352030102,,randomness at begning ends in repeating patter,,,,,0
9,4,1,0.288,0.230769231,1.24772691,1.145110414,,initial state evloves to a fixed uniform state,,,,,0
10,8,1,0.168,0.153846154,0.752510139,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,7,1,0.024,0.076923077,0.163345543,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,11,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,6,,,,,,,,,,,,
Rule:,2.42E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,1.824634649,2.038159682,,randomness at begning ends in repeating patter,,,,,0
1,4,2,0.872,0.846153846,1.781461521,1.884313528,,randomness at begning ends in repeating patter,,,,,0
2,9,4,0.792,0.769230769,1.801915307,1.950063756,,edge of chaouts,,,,,1
3,5,3,0.648,0.692307692,1.885451584,1.950063756,,chaous,,,,,2
4,11,3,0.624,0.615384615,1.850288434,1.826245258,,chaous,,,,,2
5,10,3,0.576,0.538461538,1.775260314,1.775858948,,chaous,,,,,2
6,8,2,0.456,0.461538462,1.361145672,1.457265914,,randomness at begning ends in repeating patter,,,,,0
7,3,2,0.376,0.384615385,1.113058224,1.334679141,,randomness at begning ends in repeating patter,,,,,0
8,2,1,0.328,0.307692308,1.06414878,1.198183948,,initial state evloves to a fixed uniform state,,,,,0
9,6,1,0.176,0.230769231,0.79163865,0.991264261,,initial state evloves to a fixed uniform state,,,,,0
10,1,1,0.152,0.153846154,0.660038539,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,7,1,0.008,0.076923077,0.067221545,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,12,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,7,,,,,,,,,,,,
Rule:,4.11E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,2.024095927,2.133937566,,randomness at begning ends in repeating patter,,,,,0
1,10,3,0.944,0.846153846,2.176031705,2.257756064,,chaous,,,,,2
2,1,3,0.92,0.769230769,2.216849463,2.295465679,,chaous,,,,,2
3,6,4,0.768,0.692307692,2.270515141,2.199687795,,edge of chaouts,,,,,1
4,11,2,0.744,0.615384615,2.255006859,2.075869297,,randomness at begning ends in repeating patter,,,,,0
5,9,4,0.664,0.538461538,2.188879666,1.987773371,,edge of chaouts,,,,,1
6,2,2,0.616,0.461538462,2.16301511,1.88109476,,randomness at begning ends in repeating patter,,,,,0
7,5,2,0.472,0.384615385,1.716669816,1.546593564,,randomness at begning ends in repeating patter,,,,,0
8,7,2,0.328,0.307692308,1.423565857,1.352030102,,randomness at begning ends in repeating patter,,,,,0
9,8,2,0.208,0.230769231,0.980752722,1.145110414,,randomness at begning ends in repeating patter,,,,,0
10,12,2,0.2,0.153846154,0.916118214,0.773228349,,randomness at begning ends in repeating patter,,,,,0
11,4,1,0.08,0.076923077,0.40217919,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,3,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,8,,,,,,,,,,,,
Rule:,3.43E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.7910126,2.038159682,,chaous,,,,,2
1,11,3,0.968,0.846153846,1.831169,2.038159682,,chaous,,,,,2
2,7,3,0.824,0.769230769,2.087851511,2.10390991,,chaous,,,,,2
3,2,3,0.776,0.692307692,2.098172512,2.10390991,,chaous,,,,,2
4,10,3,0.728,0.615384615,1.915308322,1.826245258,,chaous,,,,,2
5,12,3,0.72,0.538461538,1.911819194,1.738149333,,chaous,,,,,2
6,3,3,0.64,0.461538462,1.917478536,1.669180337,,chaous,,,,,2
7,9,3,0.56,0.384615385,1.810691743,1.488525295,,chaous,,,,,2
8,6,3,0.408,0.307692308,1.62002262,1.352030102,,chaous,,,,,2
9,8,3,0.288,0.230769231,1.24772691,1.145110414,,chaous,,,,,2
10,1,3,0.264,0.153846154,1.095146613,0.773228349,,chaous,,,,,2
11,4,1,0.144,0.076923077,0.594619344,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,5,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,9,,,,,,,,,,,,
Rule:,2.42E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.687578454,2.10390991,,chaous,,,,,2
1,4,3,0.872,0.846153846,2.012644363,2.199687795,,chaous,,,,,2
2,11,3,0.848,0.769230769,1.916998481,1.987773371,,chaous,,,,,2
3,1,2,0.824,0.692307692,1.918650403,1.950063756,,randomness at begning ends in repeating patter,,,,,0
4,2,2,0.776,0.615384615,1.953012831,1.922023143,,randomness at begning ends in repeating patter,,,,,0
5,3,2,0.696,0.538461538,1.860244617,1.775858948,,randomness at begning ends in repeating patter,,,,,0
6,12,2,0.688,0.461538462,1.859940856,1.669180337,,randomness at begning ends in repeating patter,,,,,0
7,6,1,0.536,0.384615385,1.732412163,1.488525295,,initial state evloves to a fixed uniform state,,,,,0
8,5,1,0.392,0.307692308,1.252244617,1.140115679,,initial state evloves to a fixed uniform state,,,,,0
9,10,1,0.344,0.230769231,1.197755875,0.991264261,,initial state evloves to a fixed uniform state,,,,,0
10,8,1,0.224,0.153846154,0.978028471,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,9,1,0.144,0.076923077,0.594619344,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,7,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,10,,,,,,,,,,,,
Rule:,3.33E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,4,0.992,0.923076923,1.83002102,2.10390991,,edge of chaouts,,,,,1
1,10,2,0.944,0.846153846,2.023210691,2.199687795,,randomness at begning ends in repeating patter,,,,,0
2,7,2,0.8,0.769230769,2.253451406,2.199687795,,randomness at begning ends in repeating patter,,,,,0
3,6,2,0.648,0.692307692,2.20203171,2.10390991,,randomness at begning ends in repeating patter,,,,,0
4,9,3,0.568,0.615384615,2.119006848,2.075869297,,chaous,,,,,2
5,5,3,0.424,0.538461538,1.651710648,1.775858948,,chaous,,,,,2
6,2,2,0.376,0.461538462,1.544335716,1.669180337,,randomness at begning ends in repeating patter,,,,,0
7,12,2,0.368,0.384615385,1.527653049,1.546593564,,randomness at begning ends in repeating patter,,,,,0
8,8,2,0.248,0.307692308,1.145021766,1.352030102,,randomness at begning ends in repeating patter,,,,,0
9,11,2,0.224,0.230769231,0.990579317,0.991264261,,randomness at begning ends in repeating patter,,,,,0
10,3,2,0.144,0.153846154,0.688222573,0.773228349,,randomness at begning ends in repeating patter,,,,,0
11,4,1,0.024,0.076923077,0.163345543,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,1,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,11,,,,,,,,,,,,
Rule:,4.44E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.648479855,2.038159682,,chaous,,,,,2
1,5,3,0.848,0.846153846,1.934300727,2.133937566,,chaous,,,,,2
2,4,2,0.728,0.769230769,1.848274016,2.133937566,,randomness at begning ends in repeating patter,,,,,0
3,6,2,0.576,0.692307692,1.848274016,2.16197818,,randomness at begning ends in repeating patter,,,,,0
4,2,2,0.528,0.615384615,1.80724716,2.133937566,,randomness at begning ends in repeating patter,,,,,0
5,11,2,0.504,0.538461538,1.73472971,1.987773371,,randomness at begning ends in repeating patter,,,,,0
6,8,2,0.384,0.461538462,1.519672342,1.88109476,,randomness at begning ends in repeating patter,,,,,0
7,3,1,0.304,0.384615385,1.242530809,1.700439718,,initial state evloves to a fixed uniform state,,,,,0
8,10,1,0.256,0.307692308,0.985763527,1.352030102,,initial state evloves to a fixed uniform state,,,,,0
9,9,1,0.176,0.230769231,0.81759955,1.145110414,,initial state evloves to a fixed uniform state,,,,,0
10,1,1,0.152,0.153846154,0.660038539,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,12,1,0.144,0.076923077,0.594619344,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,7,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,12,,,,,,,,,,,,
Rule:,2.21E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.85822636,2.10390991,,chaous,,,,,2
1,5,3,0.848,0.846153846,2.209714379,2.199687795,,chaous,,,,,2
2,1,3,0.824,0.769230769,2.222332578,2.23739741,,chaous,,,,,2
3,3,3,0.744,0.692307692,1.992946791,1.987773371,,chaous,,,,,2
4,4,3,0.624,0.615384615,1.935450456,1.922023143,,chaous,,,,,2
5,10,3,0.576,0.538461538,1.864420047,1.775858948,,chaous,,,,,2
6,12,3,0.568,0.461538462,1.857151007,1.669180337,,chaous,,,,,2
7,2,1,0.52,0.384615385,1.79994246,1.546593564,,initial state evloves to a fixed uniform state,,,,,0
8,6,1,0.368,0.307692308,1.398081378,1.352030102,,initial state evloves to a fixed uniform state,,,,,0
9,9,1,0.288,0.230769231,1.24772691,1.145110414,,initial state evloves to a fixed uniform state,,,,,0
10,8,1,0.168,0.153846154,0.752510139,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,7,1,0.024,0.076923077,0.163345543,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,11,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,13,,,,,,,,,,,,
Rule:,3.23E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.989192328,2.038159682,,chaous,,,,,2
1,2,3,0.944,0.846153846,2.153058265,2.133937566,,chaous,,,,,2
2,4,2,0.824,0.769230769,2.270100926,2.133937566,,randomness at begning ends in repeating patter,,,,,0
3,7,3,0.68,0.692307692,2.163037155,2.038159682,,chaous,,,,,2
4,8,3,0.56,0.615384615,2.079394103,2.038159682,,chaous,,,,,2
5,11,3,0.536,0.538461538,2.044264178,1.987773371,,chaous,,,,,2
6,6,3,0.384,0.461538462,1.593535346,1.823026491,,chaous,,,,,2
7,3,1,0.304,0.384615385,1.387037564,1.700439718,,initial state evloves to a fixed uniform state,,,,,0
8,1,1,0.28,0.307692308,1.301348407,1.505876256,,initial state evloves to a fixed uniform state,,,,,0
9,9,1,0.2,0.230769231,0.926151933,1.145110414,,initial state evloves to a fixed uniform state,,,,,0
10,5,1,0.056,0.153846154,0.344491046,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,12,1,0.048,0.076923077,0.277839574,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,10,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,14,,,,,,,,,,,,
Rule:,1.24E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.338018021,2.038159682,,chaous,,,,,2
1,4,3,0.872,0.846153846,1.630048136,2.133937566,,chaous,,,,,2
2,5,3,0.728,0.769230769,1.822676334,2.199687795,,chaous,,,,,2
3,6,2,0.576,0.692307692,1.822676334,2.199687795,,randomness at begning ends in repeating patter,,,,,0
4,11,2,0.552,0.615384615,1.687658702,1.922023143,,randomness at begning ends in repeating patter,,,,,0
5,2,2,0.504,0.538461538,1.643014727,1.833927218,,randomness at begning ends in repeating patter,,,,,0
6,10,2,0.456,0.461538462,1.584585759,1.727248606,,randomness at begning ends in repeating patter,,,,,0
7,9,2,0.376,0.384615385,1.450452862,1.546593564,,randomness at begning ends in repeating patter,,,,,0
8,1,2,0.352,0.307692308,1.328321045,1.352030102,,randomness at begning ends in repeating patter,,,,,0
9,12,2,0.344,0.230769231,1.265989731,0.991264261,,randomness at begning ends in repeating patter,,,,,0
10,3,2,0.264,0.153846154,1.095146613,0.773228349,,randomness at begning ends in repeating patter,,,,,0
11,7,2,0.12,0.076923077,0.529360865,0.391243564,,randomness at begning ends in repeating patter,,,,,0
12,8,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,15,,,,,,,,,,,,
Rule:,4.33E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,1.888364918,2.16197818,,randomness at begning ends in repeating patter,,,,,0
1,1,2,0.968,0.846153846,1.963539901,2.16197818,,randomness at begning ends in repeating patter,,,,,0
2,11,2,0.944,0.769230769,2.014239298,2.199687795,,randomness at begning ends in repeating patter,,,,,0
3,9,3,0.864,0.692307692,2.189033809,2.199687795,,chaous,,,,,2
4,6,3,0.712,0.615384615,1.901675337,1.922023143,,chaous,,,,,2
5,7,3,0.568,0.538461538,1.871474194,1.833927218,,chaous,,,,,2
6,2,3,0.52,0.461538462,1.795138074,1.727248606,,chaous,,,,,2
7,8,3,0.4,0.384615385,1.601981217,1.546593564,,chaous,,,,,2
8,5,2,0.256,0.307692308,1.119823258,1.352030102,,randomness at begning ends in repeating patter,,,,,0
9,3,2,0.176,0.230769231,0.863202779,1.145110414,,randomness at begning ends in repeating patter,,,,,0
10,4,1,0.056,0.153846154,0.344491046,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,10,1,0.008,0.076923077,0.067221545,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,12,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,16,,,,,,,,,,,,
Rule:,4.22E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,1,0.992,0.923076923,1.479387599,2.038159682,,initial state evloves to a fixed uniform state,,,,,0
1,4,1,0.872,0.846153846,1.855987814,2.16197818,,initial state evloves to a fixed uniform state,,,,,0
2,5,1,0.728,0.769230769,1.985997999,2.199687795,,initial state evloves to a fixed uniform state,,,,,0
3,8,2,0.608,0.692307692,1.925959865,2.16197818,,randomness at begning ends in repeating patter,,,,,0
4,3,2,0.528,0.615384615,1.738240404,2.038159682,,randomness at begning ends in repeating patter,,,,,0
5,1,2,0.504,0.538461538,1.700741536,1.891995487,,randomness at begning ends in repeating patter,,,,,0
6,7,3,0.36,0.461538462,1.50430214,1.823026491,,chaous,,,,,2
7,2,1,0.312,0.384615385,1.253144169,1.488525295,,initial state evloves to a fixed uniform state,,,,,0
8,10,1,0.264,0.307692308,1.133911972,1.352030102,,initial state evloves to a fixed uniform state,,,,,0
