Abdurhman Bahour,,,,,,,,0,,,,,
9,6,1,0.112,0.230769231,0.547497265,0.991264261,,initial state evloves to a fixed uniform state,,,,,0
10,12,1,0.104,0.153846154,0.481548544,0.619382195,,initial state evloves to a fixed uniform state,,,,,0
11,9,1,0.024,0.076923077,0.163345543,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,11,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,17,,,,,,,,,,,,
Rule:,3.43E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.961000332,2.199687795,,chaous,,,,,2
1,4,3,0.872,0.846153846,2.261905884,2.257756064,,chaous,,,,,2
2,1,3,0.848,0.769230769,2.263834451,2.295465679,,chaous,,,,,2
3,10,3,0.8,0.692307692,2.232213159,2.257756064,,chaous,,,,,2
4,9,3,0.72,0.615384615,2.228262245,2.192005835,,chaous,,,,,2
5,11,2,0.696,0.538461538,2.208266508,2.045841641,,randomness at begning ends in repeating patter,,,,,0
6,12,2,0.688,0.461538462,2.193266715,1.88109476,,randomness at begning ends in repeating patter,,,,,0
7,7,1,0.544,0.384615385,2.045407537,1.700439718,,initial state evloves to a fixed uniform state,,,,,0
8,2,3,0.496,0.307692308,1.972499902,1.505876256,,chaous,,,,,2
9,5,3,0.352,0.230769231,1.477295382,1.145110414,,chaous,,,,,2
10,3,1,0.272,0.153846154,1.113597933,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,8,1,0.152,0.076923077,0.614822757,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,6,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,18,,,,,,,,,,,,
Rule:,2.23E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.628948535,1.891995487,,chaous,,,,,2
1,6,3,0.84,0.846153846,2.011030569,2.038159682,,chaous,,,,,2
2,10,3,0.792,0.769230769,2.0440747,2.10390991,,chaous,,,,,2
3,1,3,0.768,0.692307692,2.049863779,2.10390991,,chaous,,,,,2
4,4,3,0.648,0.615384615,2.049863779,2.075869297,,chaous,,,,,2
5,12,3,0.64,0.538461538,2.044720682,1.987773371,,chaous,,,,,2
6,5,3,0.496,0.461538462,1.609707916,1.669180337,,chaous,,,,,2
7,8,3,0.376,0.384615385,1.416806698,1.546593564,,chaous,,,,,2
8,11,3,0.352,0.307692308,1.26871398,1.198183948,,chaous,,,,,2
9,7,3,0.208,0.230769231,0.937579594,0.991264261,,chaous,,,,,2
10,2,3,0.16,0.153846154,0.794309555,0.773228349,,chaous,,,,,2
11,3,1,0.08,0.076923077,0.40217919,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,9,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,19,,,,,,,,,,,,
Rule:,3.32E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.712628146,2.199687795,,chaous,,,,,2
1,12,3,0.984,0.846153846,1.722589046,2.199687795,,chaous,,,,,2
2,6,3,0.832,0.769230769,1.958216716,2.199687795,,chaous,,,,,2
3,5,3,0.688,0.692307692,2.057832905,2.199687795,,chaous,,,,,2
4,2,1,0.64,0.615384615,2.009654882,2.133937566,,initial state evloves to a fixed uniform state,,,,,0
5,8,1,0.52,0.538461538,1.920147203,2.045841641,,initial state evloves to a fixed uniform state,,,,,0
6,4,1,0.4,0.461538462,1.580593575,1.88109476,,initial state evloves to a fixed uniform state,,,,,0
7,7,1,0.256,0.384615385,1.208985234,1.700439718,,initial state evloves to a fixed uniform state,,,,,0
8,3,1,0.176,0.307692308,0.990197203,1.505876256,,initial state evloves to a fixed uniform state,,,,,0
9,9,1,0.096,0.230769231,0.600186103,1.145110414,,initial state evloves to a fixed uniform state,,,,,0
10,10,1,0.048,0.153846154,0.325839574,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,11,1,0.024,0.076923077,0.163345543,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,1,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,20,,,,,,,,,,,,
Rule:,1.12E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.860758259,2.199687795,,chaous,,,,,2
1,7,3,0.848,0.846153846,2.146579131,2.257756064,,chaous,,,,,2
2,10,3,0.8,0.769230769,2.143336475,2.199687795,,chaous,,,,,2
3,12,3,0.792,0.692307692,2.140239765,2.10390991,,chaous,,,,,2
4,11,3,0.768,0.615384615,2.106801436,2.038159682,,chaous,,,,,2
5,9,3,0.688,0.538461538,2.13933302,1.987773371,,chaous,,,,,2
6,6,3,0.536,0.461538462,1.715960312,1.669180337,,chaous,,,,,2
7,3,3,0.456,0.384615385,1.647846956,1.546593564,,chaous,,,,,2
8,1,2,0.432,0.307692308,1.570526778,1.352030102,,randomness at begning ends in repeating patter,,,,,0
9,2,2,0.384,0.230769231,1.327320832,0.991264261,,randomness at begning ends in repeating patter,,,,,0
10,5,2,0.24,0.153846154,0.795040279,0.619382195,,randomness at begning ends in repeating patter,,,,,0
11,4,1,0.12,0.076923077,0.529360865,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,8,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,21,,,,,,,,,,,,
Rule:,3.41E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,4,0.992,0.923076923,1.659828989,2.133937566,,edge of chaouts,,,,,1
1,8,3,0.872,0.846153846,2.041907943,2.257756064,,chaous,,,,,2
2,3,3,0.792,0.769230769,2.001970729,2.199687795,,chaous,,,,,2
3,10,3,0.744,0.692307692,1.889857691,2.10390991,,chaous,,,,,2
4,2,3,0.696,0.615384615,1.919936034,2.075869297,,chaous,,,,,2
5,11,3,0.672,0.538461538,1.79606804,1.775858948,,chaous,,,,,2
6,12,3,0.664,0.461538462,1.789001879,1.669180337,,chaous,,,,,2
7,5,3,0.52,0.384615385,1.748142539,1.546593564,,chaous,,,,,2
8,4,2,0.4,0.307692308,1.577409658,1.352030102,,randomness at begning ends in repeating patter,,,,,0
9,9,2,0.32,0.230769231,1.222069283,0.991264261,,randomness at begning ends in repeating patter,,,,,0
10,1,2,0.296,0.153846154,1.172190243,0.773228349,,randomness at begning ends in repeating patter,,,,,0
11,6,1,0.144,0.076923077,0.594619344,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,7,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,22,,,,,,,,,,,,
Rule:,2.34E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,2.033282248,2.199687795,,chaous,,,,,2
1,12,3,0.984,0.846153846,2.0696916,2.295465679,,chaous,,,,,2
2,3,3,0.904,0.769230769,2.222901809,2.23739741,,chaous,,,,,2
3,4,4,0.784,0.692307692,2.291031582,2.199687795,,edge of chaouts,,,,,1
4,10,2,0.736,0.615384615,2.293309625,2.133937566,,randomness at begning ends in repeating patter,,,,,0
5,11,2,0.712,0.538461538,2.278494746,2.045841641,,randomness at begning ends in repeating patter,,,,,0
6,6,2,0.56,0.461538462,1.869319854,1.727248606,,randomness at begning ends in repeating patter,,,,,0
7,7,1,0.416,0.384615385,1.609353841,1.546593564,,initial state evloves to a fixed uniform state,,,,,0
8,9,2,0.336,0.307692308,1.256939448,1.198183948,,randomness at begning ends in repeating patter,,,,,0
9,1,2,0.312,0.230769231,1.206135606,0.991264261,,randomness at begning ends in repeating patter,,,,,0
10,5,1,0.168,0.153846154,0.653109112,0.619382195,,initial state evloves to a fixed uniform state,,,,,0
11,2,1,0.12,0.076923077,0.529360865,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,8,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,23,,,,,,,,,,,,
Rule:,3.23E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,1.833895328,2.16197818,,randomness at begning ends in repeating patter,,,,,0
1,5,2,0.848,0.846153846,1.888080573,2.16197818,,randomness at begning ends in repeating patter,,,,,0
2,3,2,0.768,0.769230769,1.906098612,2.199687795,,randomness at begning ends in repeating patter,,,,,0
3,1,2,0.744,0.692307692,1.893977108,2.16197818,,randomness at begning ends in repeating patter,,,,,0
4,2,2,0.696,0.615384615,1.798685344,2.038159682,,randomness at begning ends in repeating patter,,,,,0
5,12,3,0.688,0.538461538,1.790833329,1.891995487,,chaous,,,,,2
6,7,3,0.544,0.461538462,1.795167166,1.823026491,,chaous,,,,,2
7,4,2,0.424,0.384615385,1.675333964,1.700439718,,randomness at begning ends in repeating patter,,,,,0
8,6,2,0.272,0.307692308,1.137221249,1.352030102,,randomness at begning ends in repeating patter,,,,,0
9,8,1,0.152,0.230769231,0.832636192,1.145110414,,initial state evloves to a fixed uniform state,,,,,0
10,11,1,0.128,0.153846154,0.674095106,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,9,1,0.048,0.076923077,0.277839574,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,10,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,24,,,,,,,,,,,,
Rule:,4.23E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.870914737,2.038159682,,chaous,,,,,2
1,4,3,0.872,0.846153846,2.14367769,2.133937566,,chaous,,,,,2
2,5,3,0.728,0.769230769,2.233361615,2.199687795,,chaous,,,,,2
3,9,3,0.648,0.692307692,1.961185826,1.950063756,,chaous,,,,,2
4,7,3,0.504,0.615384615,1.728445486,1.884313528,,chaous,,,,,2
5,12,3,0.496,0.538461538,1.719381863,1.833927218,,chaous,,,,,2
6,11,3,0.472,0.461538462,1.688567114,1.727248606,,chaous,,,,,2
7,2,3,0.424,0.384615385,1.609216664,1.546593564,,chaous,,,,,2
8,8,3,0.304,0.307692308,1.341821782,1.352030102,,chaous,,,,,2
9,10,3,0.256,0.230769231,1.1511718,1.145110414,,chaous,,,,,2
10,6,3,0.104,0.153846154,0.562600927,0.773228349,,chaous,,,,,2
11,3,1,0.024,0.076923077,0.163345543,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,1,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,25,,,,,,,,,,,,
Rule:,1.41E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,1.761232075,2.133937566,,randomness at begning ends in repeating patter,,,,,0
1,7,2,0.848,0.846153846,1.978440269,2.133937566,,randomness at begning ends in repeating patter,,,,,0
2,11,2,0.824,0.769230769,1.98166876,2.133937566,,randomness at begning ends in repeating patter,,,,,0
3,2,3,0.776,0.692307692,1.958763678,2.038159682,,chaous,,,,,2
4,10,3,0.728,0.615384615,1.809033163,1.914341184,,chaous,,,,,2
5,8,3,0.608,0.538461538,1.460683668,1.614330835,,chaous,,,,,2
6,1,3,0.584,0.461538462,1.465776644,1.573402452,,chaous,,,,,2
7,5,3,0.44,0.384615385,1.415513431,1.488525295,,chaous,,,,,2
8,3,3,0.36,0.307692308,1.323871842,1.352030102,,chaous,,,,,2
9,12,3,0.352,0.230769231,1.26168302,0.991264261,,chaous,,,,,2
10,9,3,0.272,0.153846154,1.113597933,0.773228349,,chaous,,,,,2
11,6,3,0.12,0.076923077,0.529360865,0.391243564,,chaous,,,,,2
12,4,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,26,,,,,,,,,,,,
Rule:,1.21E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.71246294,1.987773371,,chaous,,,,,2
1,1,3,0.968,0.846153846,1.800256122,2.045841641,,chaous,,,,,2
2,10,3,0.92,0.769230769,1.95572586,2.133937566,,chaous,,,,,2
3,11,2,0.896,0.692307692,2.012731016,2.16197818,,randomness at begning ends in repeating patter,,,,,0
4,2,2,0.848,0.615384615,2.098612023,2.133937566,,randomness at begning ends in repeating patter,,,,,0
5,5,2,0.704,0.538461538,2.189891839,2.045841641,,randomness at begning ends in repeating patter,,,,,0
6,6,2,0.552,0.461538462,2.045158052,1.88109476,,randomness at begning ends in repeating patter,,,,,0
7,8,2,0.432,0.384615385,1.622623564,1.546593564,,randomness at begning ends in repeating patter,,,,,0
8,3,2,0.352,0.307692308,1.483835429,1.352030102,,randomness at begning ends in repeating patter,,,,,0
9,12,2,0.344,0.230769231,1.46017985,1.145110414,,randomness at begning ends in repeating patter,,,,,0
10,4,1,0.224,0.153846154,0.978028471,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,9,1,0.144,0.076923077,0.594619344,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,7,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,27,,,,,,,,,,,,
Rule:,4.22E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.103872685,1.669180337,,chaous,,,,,2
1,12,4,0.984,0.846153846,1.13534812,1.727248606,,edge of chaouts,,,,,1
2,3,3,0.904,0.769230769,1.437979205,1.833927218,,chaous,,,,,2
3,7,3,0.76,0.692307692,1.703035977,1.884313528,,chaous,,,,,2
4,1,3,0.736,0.615384615,1.688144655,1.76049503,,chaous,,,,,2
5,9,3,0.656,0.538461538,1.739118226,1.738149333,,chaous,,,,,2
6,11,3,0.632,0.461538462,1.677238902,1.573402452,,chaous,,,,,2
7,10,3,0.584,0.384615385,1.462604979,1.238901257,,chaous,,,,,2
8,4,3,0.464,0.307692308,1.419630004,1.140115679,,chaous,,,,,2
9,2,1,0.416,0.230769231,1.373521713,0.991264261,,initial state evloves to a fixed uniform state,,,,,0
10,6,1,0.264,0.153846154,0.832722637,0.619382195,,initial state evloves to a fixed uniform state,,,,,0
11,8,1,0.144,0.076923077,0.594619344,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,5,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,28,,,,,,,,,,,,
Rule:,4.33E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,1.791488625,2.038159682,,randomness at begning ends in repeating patter,,,,,0
1,1,2,0.968,0.846153846,1.831645025,2.038159682,,randomness at begning ends in repeating patter,,,,,0
2,9,3,0.888,0.769230769,2.01847691,2.10390991,,chaous,,,,,2
3,12,3,0.88,0.692307692,2.029445558,2.10390991,,chaous,,,,,2
4,2,3,0.832,0.615384615,2.094694286,2.075869297,,chaous,,,,,2
5,7,3,0.688,0.538461538,2.121421958,1.987773371,,chaous,,,,,2
6,4,3,0.568,0.461538462,1.94737304,1.823026491,,chaous,,,,,2
7,6,3,0.416,0.384615385,1.760155894,1.700439718,,chaous,,,,,2
8,8,3,0.296,0.307692308,1.390003677,1.505876256,,chaous,,,,,2
9,10,3,0.248,0.230769231,1.13247092,1.145110414,,chaous,,,,,2
10,5,3,0.104,0.153846154,0.562600927,0.773228349,,chaous,,,,,2
11,3,1,0.024,0.076923077,0.163345543,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,11,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,29,,,,,,,,,,,,
Rule:,2.22E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.85011352,2.133937566,,chaous,,,,,2
1,2,3,0.944,0.846153846,2.006259156,2.257756064,,chaous,,,,,2
2,8,3,0.824,0.769230769,2.095251751,2.295465679,,chaous,,,,,2
3,11,3,0.8,0.692307692,2.078494748,2.257756064,,chaous,,,,,2
4,4,2,0.68,0.615384615,2.042353906,2.133937566,,randomness at begning ends in repeating patter,,,,,0
5,10,2,0.632,0.538461538,1.869911972,1.987773371,,randomness at begning ends in repeating patter,,,,,0
6,5,2,0.488,0.461538462,1.786406069,1.88109476,,randomness at begning ends in repeating patter,,,,,0
7,6,1,0.336,0.384615385,1.271064869,1.546593564,,initial state evloves to a fixed uniform state,,,,,0
8,7,1,0.192,0.307692308,0.935349428,1.352030102,,initial state evloves to a fixed uniform state,,,,,0
9,1,1,0.168,0.230769231,0.859509944,1.145110414,,initial state evloves to a fixed uniform state,,,,,0
10,12,1,0.16,0.153846154,0.794309555,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,3,1,0.08,0.076923077,0.40217919,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,9,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,30,,,,,,,,,,,,
Rule:,3.14E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.879572981,2.199687795,,chaous,,,,,2
1,5,3,0.848,0.846153846,2.216517491,2.257756064,,chaous,,,,,2
2,3,3,0.768,0.769230769,2.253673344,2.295465679,,chaous,,,,,2
3,10,3,0.72,0.692307692,2.16460389,2.199687795,,chaous,,,,,2
4,6,3,0.568,0.615384615,1.883027134,2.133937566,,chaous,,,,,2
5,4,1,0.448,0.538461538,1.689234806,2.045841641,,initial state evloves to a fixed uniform state,,,,,0
6,1,2,0.424,0.461538462,1.571263506,1.88109476,,randomness at begning ends in repeating patter,,,,,0
7,9,2,0.344,0.384615385,1.301392822,1.700439718,,randomness at begning ends in repeating patter,,,,,0
8,2,1,0.296,0.307692308,1.048585278,1.352030102,,initial state evloves to a fixed uniform state,,,,,0
9,7,1,0.152,0.230769231,0.753641768,1.145110414,,initial state evloves to a fixed uniform state,,,,,0
10,8,1,0.032,0.153846154,0.230285571,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,11,1,0.008,0.076923077,0.067221545,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,12,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,31,,,,,,,,,,,,
Rule:,2.12E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,1.820750688,2.038159682,,randomness at begning ends in repeating patter,,,,,0
1,7,4,0.848,0.846153846,2.055370004,2.16197818,,edge of chaouts,,,,,1
2,2,4,0.8,0.769230769,1.896361949,1.950063756,,edge of chaouts,,,,,1
3,10,4,0.752,0.692307692,1.930823685,1.950063756,,edge of chaouts,,,,,1
4,1,4,0.728,0.615384615,1.905145672,1.922023143,,edge of chaouts,,,,,1
5,4,2,0.608,0.538461538,1.877756879,1.833927218,,randomness at begning ends in repeating patter,,,,,0
6,8,1,0.488,0.461538462,1.744828049,1.669180337,,initial state evloves to a fixed uniform state,,,,,0
7,6,1,0.336,0.384615385,1.229486848,1.334679141,,initial state evloves to a fixed uniform state,,,,,0
8,3,1,0.256,0.307692308,0.959802627,1.198183948,,initial state evloves to a fixed uniform state,,,,,0
9,5,1,0.112,0.230769231,0.602588748,0.991264261,,initial state evloves to a fixed uniform state,,,,,0
10,12,1,0.104,0.153846154,0.562600927,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,9,1,0.024,0.076923077,0.163345543,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,11,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,32,,,,,,,,,,,,
Rule:,2.11E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,1.998508201,2.10390991,,randomness at begning ends in repeating patter,,,,,0
1,6,2,0.84,0.846153846,2.272107369,2.16197818,,randomness at begning ends in repeating patter,,,,,0
2,3,3,0.76,0.769230769,2.281102157,2.199687795,,chaous,,,,,2
3,9,3,0.68,0.692307692,2.259216002,2.199687795,,chaous,,,,,2
4,11,3,0.656,0.615384615,2.23800139,2.133937566,,chaous,,,,,2
5,1,2,0.632,0.538461538,2.209405793,1.987773371,,randomness at begning ends in repeating patter,,,,,0
6,8,2,0.512,0.461538462,1.961707899,1.823026491,,randomness at begning ends in repeating patter,,,,,0
7,2,1,0.464,0.384615385,1.877343878,1.700439718,,initial state evloves to a fixed uniform state,,,,,0
8,4,1,0.344,0.307692308,1.470213569,1.505876256,,initial state evloves to a fixed uniform state,,,,,0
9,12,1,0.336,0.230769231,1.407741502,1.145110414,,initial state evloves to a fixed uniform state,,,,,0
10,5,1,0.192,0.153846154,0.861402006,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,7,1,0.048,0.076923077,0.277839574,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,10,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,33,,,,,,,,,,,,
Rule:,2.21E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.833360497,2.199687795,,chaous,,,,,2
1,10,3,0.944,0.846153846,2.022868881,2.295465679,,chaous,,,,,2
2,11,3,0.92,0.769230769,2.033417992,2.23739741,,chaous,,,,,2
3,4,3,0.8,0.692307692,2.199785728,2.199687795,,chaous,,,,,2
4,3,2,0.72,0.615384615,1.958111969,1.922023143,,randomness at begning ends in repeating patter,,,,,0
5,7,3,0.576,0.538461538,1.861986155,1.775858948,,chaous,,,,,2
6,9,3,0.496,0.461538462,1.695525728,1.669180337,,chaous,,,,,2
7,8,3,0.376,0.384615385,1.524088736,1.546593564,,chaous,,,,,2
8,2,1,0.328,0.307692308,1.340737912,1.352030102,,initial state evloves to a fixed uniform state,,,,,0
9,5,1,0.184,0.230769231,0.837361124,1.145110414,,initial state evloves to a fixed uniform state,,,,,0
